Severity,Gap Type,Expected Method,Expected Endpoint,Component,File Path,Line Number,Backend Status,Backend Endpoint,Description,Recommendation,Affected Features
medium,missing_endpoint,PUT,/api/v1/notifications/preferences,hooks.useNotificationsQuery,hooks/useNotificationsQuery.ts,204,not_found,,Frontend expects PUT /api/v1/notifications/preferences but endpoint does not exist in backend,Implement PUT endpoint to update existing preferences. Include ID validation and update logic.,
medium,missing_endpoint,GET,/api/v1/profile,hooks.useUserProfile,hooks/useUserProfile.ts,20,not_found,,Frontend expects GET /api/v1/profile but endpoint does not exist in backend,Implement GET endpoint to retrieve profile data. Add route handler in appropriate router file.,
medium,missing_endpoint,PUT,/api/v1/profile,hooks.useUserProfile,hooks/useUserProfile.ts,39,not_found,,Frontend expects PUT /api/v1/profile but endpoint does not exist in backend,Implement PUT endpoint to update existing profile. Include ID validation and update logic.,
medium,missing_endpoint,GET,/api/v1/notifications,hooks.useNotifications,hooks/useNotifications.ts,55,not_found,,Frontend expects GET /api/v1/notifications but endpoint does not exist in backend,Implement GET endpoint to retrieve notifications data. Add route handler in appropriate router file.,
medium,missing_endpoint,PUT,/api/v1/notifications/{id}/read,hooks.useNotifications,hooks/useNotifications.ts,84,not_found,,Frontend expects PUT /api/v1/notifications/{id}/read but endpoint does not exist in backend,Implement PUT endpoint to update existing read. Include ID validation and update logic.,
medium,missing_endpoint,PUT,/api/v1/notifications/{id}/unread,hooks.useNotifications,hooks/useNotifications.ts,110,not_found,,Frontend expects PUT /api/v1/notifications/{id}/unread but endpoint does not exist in backend,Implement PUT endpoint to update existing unread. Include ID validation and update logic.,
medium,missing_endpoint,PUT,/api/v1/notifications/read-all,hooks.useNotifications,hooks/useNotifications.ts,137,not_found,,Frontend expects PUT /api/v1/notifications/read-all but endpoint does not exist in backend,Implement PUT endpoint to update existing read-all. Include ID validation and update logic.,
medium,missing_endpoint,DELETE,/api/v1/notifications/{id},hooks.useNotifications,hooks/useNotifications.ts,162,not_found,,Frontend expects DELETE /api/v1/notifications/{id} but endpoint does not exist in backend,Implement DELETE endpoint to remove notifications. Include ID validation and deletion logic.,
medium,missing_endpoint,POST,/api/v1/notifications/bulk-delete,hooks.useNotifications,hooks/useNotifications.ts,185,not_found,,Frontend expects POST /api/v1/notifications/bulk-delete but endpoint does not exist in backend,Implement POST endpoint to create new bulk-delete. Include request validation and database insertion. Support batch operations with transaction handling.,
medium,missing_endpoint,GET,/api/profile,lib.swr,lib/swr.ts,224,not_found,,Frontend expects GET /api/profile but endpoint does not exist in backend,Implement GET endpoint to retrieve profile data. Add route handler in appropriate router file.,
medium,missing_endpoint,GET,/api/analytics/summary,lib.swr,lib/swr.ts,243,not_found,,Frontend expects GET /api/analytics/summary but endpoint does not exist in backend,Implement GET endpoint to retrieve summary data. Add route handler in appropriate router file.,
medium,missing_endpoint,GET,/api/notifications,lib.swr,lib/swr.ts,263,not_found,,Frontend expects GET /api/notifications but endpoint does not exist in backend,Implement GET endpoint to retrieve notifications data. Add route handler in appropriate router file.,
medium,missing_endpoint,GET,/api/v1/analytics,lib.api.examples,lib/api/examples.ts,179,not_found,,Frontend expects GET /api/v1/analytics but endpoint does not exist in backend,Implement GET endpoint to retrieve analytics data. Add route handler in appropriate router file.,
medium,missing_endpoint,PUT,/api/v1/notificationsettings/{id},components.settings.NotificationPreferences,components/settings/NotificationPreferences.tsx,260,not_found,,Frontend expects PUT /api/v1/notificationsettings/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing notificationsettings. Include ID validation and update logic.,
medium,missing_endpoint,PUT,/api/v1/profile,components.features.ResumeUpload,components/features/ResumeUpload.tsx,190,not_found,,Frontend expects PUT /api/v1/profile but endpoint does not exist in backend,Implement PUT endpoint to update existing profile. Include ID validation and update logic.,
low,missing_endpoint,GET,/api/health,hooks.useOfflineMode,hooks/useOfflineMode.ts,44,not_found,,Frontend expects GET /api/health but endpoint does not exist in backend,Implement GET endpoint to retrieve health data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/push/subscribe,lib.pushNotifications,lib/pushNotifications.ts,175,not_found,,Frontend expects GET /api/push/subscribe but endpoint does not exist in backend,Implement GET endpoint to retrieve subscribe data. Add route handler in appropriate router file.,
low,missing_endpoint,PUT,/api/v1/status/{id},lib.utils.optimistic,lib/utils/optimistic.ts,20,not_found,,Frontend expects PUT /api/v1/status/{id} but endpoint does not exist in backend,Implement PUT endpoint to update existing status. Include ID validation and update logic.,
low,missing_endpoint,GET,/api/refresh-token,lib.api.config,lib/api/config.ts,161,not_found,,Frontend expects GET /api/refresh-token but endpoint does not exist in backend,Implement GET endpoint to retrieve refresh-token data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/refresh-token,lib.api.config,lib/api/config.ts,188,not_found,,Frontend expects GET /api/refresh-token but endpoint does not exist in backend,Implement GET endpoint to retrieve refresh-token data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/sentry-example-api,app.sentry-example-page.page,app/sentry-example-page/page.tsx,55,not_found,,Frontend expects GET /api/sentry-example-api but endpoint does not exist in backend,Implement GET endpoint to retrieve sentry-example-api data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/v1/health/comprehensive,app.health.page,app/health/page.tsx,27,not_found,,Frontend expects GET /api/v1/health/comprehensive but endpoint does not exist in backend,Implement GET endpoint to retrieve comprehensive data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/v1/health/comprehensive,app.health.page,app/health/page.tsx,27,not_found,,Frontend expects GET /api/v1/health/comprehensive but endpoint does not exist in backend,Implement GET endpoint to retrieve comprehensive data. Add route handler in appropriate router file.,
low,missing_endpoint,POST,/api/v1/resume/upload,components.ui.FileUpload,components/ui/FileUpload.tsx,84,not_found,,Frontend expects POST /api/v1/resume/upload but endpoint does not exist in backend,Implement POST endpoint to create new upload. Include request validation and database insertion.,
low,missing_endpoint,DELETE,/api/v1/search/{id},components.features.SavedSearches,components/features/SavedSearches.tsx,376,not_found,,Frontend expects DELETE /api/v1/search/{id} but endpoint does not exist in backend,Implement DELETE endpoint to remove search. Include ID validation and deletion logic. Include query parameters for filtering and pagination.,
low,missing_endpoint,GET,/api/v1/interview/start,components.features.InterviewPractice,components/features/InterviewPractice.tsx,130,not_found,,Frontend expects GET /api/v1/interview/start but endpoint does not exist in backend,Implement GET endpoint to retrieve start data. Add route handler in appropriate router file.,
low,missing_endpoint,POST,/api/v1/resume/upload,components.features.ResumeUpload,components/features/ResumeUpload.tsx,114,not_found,,Frontend expects POST /api/v1/resume/upload but endpoint does not exist in backend,Implement POST endpoint to create new upload. Include request validation and database insertion.,
low,missing_endpoint,POST,/api/v1/content/generate,components.features.ContentGeneration,components/features/ContentGeneration.tsx,89,not_found,,Frontend expects POST /api/v1/content/generate but endpoint does not exist in backend,Implement POST endpoint to create new generate. Include request validation and database insertion.,
low,missing_endpoint,GET,/api/health,components.monitoring.HealthMonitor,components/monitoring/HealthMonitor.tsx,76,not_found,,Frontend expects GET /api/health but endpoint does not exist in backend,Implement GET endpoint to retrieve health data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/v1/recommendations,components.pages.RecommendationsPage,components/pages/RecommendationsPage.tsx,35,not_found,,Frontend expects GET /api/v1/recommendations but endpoint does not exist in backend,Implement GET endpoint to retrieve recommendations data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/v1/skill-gap,components.pages.RecommendationsPage,components/pages/RecommendationsPage.tsx,42,not_found,,Frontend expects GET /api/v1/skill-gap but endpoint does not exist in backend,Implement GET endpoint to retrieve skill-gap data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/feedback,components.help.FeedbackWidget,components/help/FeedbackWidget.tsx,148,not_found,,Frontend expects GET /api/feedback but endpoint does not exist in backend,Implement GET endpoint to retrieve feedback data. Add route handler in appropriate router file.,
low,missing_endpoint,GET,/api/v1/,components.analytics.AnalyticsDashboard,components/analytics/AnalyticsDashboard.tsx,126,not_found,,Frontend expects GET /api/v1/ but endpoint does not exist in backend,Implement GET endpoint to retrieve  data. Add route handler in appropriate router file.,
